name,trades,win_rate,total_pnl,avg_pnl,max_loss,sharpe
Baseline (VIX≤20),822,0.9257907542579076,399591.4830041118,486.1210255524479,-2411.70478690874,0.9072658105777739
VIX≤17,517,0.9284332688588007,244099.1296167254,472.1453184075929,-2408.065954676192,0.8530352539752039
VIX≤25,1080,0.912962962962963,498261.66147732874,461.3533902567861,-2411.70478690874,0.7622461518914868
No VIX filter,1252,0.9041533546325878,553288.4882238144,441.9237126388292,-2411.70478690874,0.6655199731763207
Delta 0.10,822,0.9671532846715328,272333.3889518061,331.3058259754332,-2627.4726299687813,0.8106885393175961
Delta 0.20,822,0.8856447688564477,488298.2138240026,594.0367564768889,-2231.3111475787937,0.8018151284962087
DTE 1,823,0.8748481166464156,245406.2485618583,298.1849921772276,-2543.7159536502777,0.4088975806029441
DTE 3,821,0.8915956151035322,347445.9282287341,423.1984509485191,-2381.6050998744117,0.5731785390612592
Wing 20,822,0.9257907542579076,292339.50443632866,355.644165980935,-1575.085355509833,0.8623629298440707
Wing 40,822,0.9330900243309003,478856.2843307927,582.550224246707,-3311.0921906721333,0.9022106445241092
