delta,wing,dte,max_vix,trades,win_rate,total_pnl,avg_pnl,sharpe
0.1,20,1,17,518,0.918918918918919,80766.13197649024,155.91917369978796,0.36065791973062156
0.1,20,1,20,823,0.9161603888213852,132626.60830283267,161.15019234852068,0.38069107647736844
0.1,20,1,25,1081,0.9084181313598519,160121.21723772265,148.12323518753263,0.3229410255631246
0.1,20,2,17,517,0.9593810444874274,124179.91311295386,240.19325553762852,0.7731136247426681
0.1,20,2,20,822,0.9659367396593674,207016.52403184728,251.84491974677292,0.8476831338807566
0.1,20,2,25,1080,0.9592592592592593,261946.91797718636,242.5434425714688,0.7331937659514035
0.1,20,3,17,516,0.9496124031007752,120758.10628976027,234.02733777085317,0.6254040985070465
0.1,20,3,20,821,0.9427527405602923,182372.15661008772,222.1341737029084,0.5435713774165625
0.1,20,3,25,1079,0.9360518999073216,228163.05315315953,211.4578805868023,0.4829144527070225
0.1,25,1,17,518,0.918918918918919,94712.29589758582,182.84227007255953,0.37478865996075783
0.1,25,1,20,823,0.9173754556500607,157462.21203599562,191.32711061481862,0.4037778817086533
0.1,25,1,25,1081,0.910268270120259,190295.9365004788,176.03694403374521,0.3373672887920292
0.1,25,2,17,517,0.9593810444874274,144953.01733585415,280.3733410751532,0.7539138979024042
0.1,25,2,20,822,0.9659367396593674,242445.0349772601,294.9452980258641,0.8318677698580357
0.1,25,2,25,1080,0.9592592592592593,308041.85581276077,285.2239405673716,0.7237072815505676
0.1,25,3,17,516,0.9496124031007752,143218.3139073169,277.55487191340495,0.6240834846042004
0.1,25,3,20,821,0.9427527405602923,217152.59498827913,264.49767964467645,0.543582490139852
0.1,25,3,25,1079,0.9360518999073216,271999.7953787796,252.08507449377163,0.48149017136514255
0.1,30,1,17,518,0.918918918918919,105862.81403423389,204.36836686145554,0.38116179832386987
0.1,30,1,20,823,0.9173754556500607,178531.50261688803,216.92770670338774,0.42313821532816787
0.1,30,1,25,1081,0.910268270120259,215369.43287741745,199.23166778669494,0.3457999274571774
0.1,30,2,17,517,0.9613152804642167,162045.94614704934,313.4350989304627,0.7262009746809527
0.1,30,2,20,822,0.9671532846715328,272333.3889518061,331.3058259754332,0.8106885393175961
