delta,wing,dte,profit_target,stop_loss,trades,win_rate,total_pnl,avg_pnl,max_loss,sharpe
0.15,30,2,,,58,0.966,16860.0,290.7,-1637.0,1.04
0.15,30,2,,1.0,58,0.966,16860.0,290.7,-1637.0,1.04
0.15,30,2,,1.5,58,0.966,16860.0,290.7,-1637.0,1.04
0.15,30,2,,2.0,58,0.966,16860.0,290.7,-1637.0,1.04
0.15,30,2,,3.0,58,0.966,16860.0,290.7,-1637.0,1.04
0.15,30,2,0.25,,58,0.966,16860.0,290.7,-1637.0,1.04
0.15,30,2,0.25,1.0,58,0.966,16860.0,290.7,-1637.0,1.04
0.15,30,2,0.25,1.5,58,0.966,16860.0,290.7,-1637.0,1.04
0.15,30,2,0.25,2.0,58,0.966,16860.0,290.7,-1637.0,1.04
0.15,30,2,0.25,3.0,58,0.966,16860.0,290.7,-1637.0,1.04
0.15,30,2,0.5,,58,0.966,16860.0,290.7,-1637.0,1.04
0.15,30,2,0.5,1.0,58,0.966,16860.0,290.7,-1637.0,1.04
0.15,30,2,0.5,1.5,58,0.966,16860.0,290.7,-1637.0,1.04
0.15,30,2,0.5,2.0,58,0.966,16860.0,290.7,-1637.0,1.04
0.15,30,2,0.5,3.0,58,0.966,16860.0,290.7,-1637.0,1.04
0.15,30,2,0.75,,58,0.966,16860.0,290.7,-1637.0,1.04
0.15,30,2,0.75,1.0,58,0.966,16860.0,290.7,-1637.0,1.04
0.15,30,2,0.75,1.5,58,0.966,16860.0,290.7,-1637.0,1.04
0.15,30,2,0.75,2.0,58,0.966,16860.0,290.7,-1637.0,1.04
0.15,30,2,0.75,3.0,58,0.966,16860.0,290.7,-1637.0,1.04
0.12,30,2,,,58,1.0,15578.0,268.6,239.0,21.96
0.12,30,2,,1.0,58,1.0,15578.0,268.6,239.0,21.96
0.12,30,2,,1.5,58,1.0,15578.0,268.6,239.0,21.96
0.12,30,2,,2.0,58,1.0,15578.0,268.6,239.0,21.96
0.12,30,2,,3.0,58,1.0,15578.0,268.6,239.0,21.96
0.12,30,2,0.25,,58,1.0,15578.0,268.6,239.0,21.96
0.12,30,2,0.25,1.0,58,1.0,15578.0,268.6,239.0,21.96
0.12,30,2,0.25,1.5,58,1.0,15578.0,268.6,239.0,21.96
0.12,30,2,0.25,2.0,58,1.0,15578.0,268.6,239.0,21.96
0.12,30,2,0.25,3.0,58,1.0,15578.0,268.6,239.0,21.96
0.12,30,2,0.5,,58,1.0,15578.0,268.6,239.0,21.96
0.12,30,2,0.5,1.0,58,1.0,15578.0,268.6,239.0,21.96
0.12,30,2,0.5,1.5,58,1.0,15578.0,268.6,239.0,21.96
0.12,30,2,0.5,2.0,58,1.0,15578.0,268.6,239.0,21.96
0.12,30,2,0.5,3.0,58,1.0,15578.0,268.6,239.0,21.96
0.12,30,2,0.75,,58,1.0,15578.0,268.6,239.0,21.96
0.12,30,2,0.75,1.0,58,1.0,15578.0,268.6,239.0,21.96
0.12,30,2,0.75,1.5,58,1.0,15578.0,268.6,239.0,21.96
0.12,30,2,0.75,2.0,58,1.0,15578.0,268.6,239.0,21.96
0.12,30,2,0.75,3.0,58,1.0,15578.0,268.6,239.0,21.96
0.2,30,1,,,59,0.949,19615.0,332.5,-2547.0,0.7
0.2,30,1,,1.0,59,0.949,19615.0,332.5,-2547.0,0.7
0.2,30,1,,1.5,59,0.949,19615.0,332.5,-2547.0,0.7
0.2,30,1,,2.0,59,0.949,19615.0,332.5,-2547.0,0.7
0.2,30,1,,3.0,59,0.949,19615.0,332.5,-2547.0,0.7
0.2,30,1,0.25,,59,0.949,19615.0,332.5,-2547.0,0.7
0.2,30,1,0.25,1.0,59,0.949,19615.0,332.5,-2547.0,0.7
0.2,30,1,0.25,1.5,59,0.949,19615.0,332.5,-2547.0,0.7
0.2,30,1,0.25,2.0,59,0.949,19615.0,332.5,-2547.0,0.7
0.2,30,1,0.25,3.0,59,0.949,19615.0,332.5,-2547.0,0.7
0.2,30,1,0.5,,59,0.949,19615.0,332.5,-2547.0,0.7
0.2,30,1,0.5,1.0,59,0.949,19615.0,332.5,-2547.0,0.7
0.2,30,1,0.5,1.5,59,0.949,19615.0,332.5,-2547.0,0.7
0.2,30,1,0.5,2.0,59,0.949,19615.0,332.5,-2547.0,0.7
0.2,30,1,0.5,3.0,59,0.949,19615.0,332.5,-2547.0,0.7
0.2,30,1,0.75,,59,0.949,19615.0,332.5,-2547.0,0.7
0.2,30,1,0.75,1.0,59,0.949,19615.0,332.5,-2547.0,0.7
0.2,30,1,0.75,1.5,59,0.949,19615.0,332.5,-2547.0,0.7
0.2,30,1,0.75,2.0,59,0.949,19615.0,332.5,-2547.0,0.7
0.2,30,1,0.75,3.0,59,0.949,19615.0,332.5,-2547.0,0.7
