min_vix,max_vix,skip_days,trades,win_rate,total_pnl,avg_pnl,max_loss,sharpe
,,None,58,0.966,16860.0,290.7,-1637.0,1.04
,,['Monday'],46,0.957,12735.0,276.8,-1637.0,0.89
,,['Friday'],45,0.956,12447.0,276.6,-1637.0,0.88
,,"['Monday', 'Friday']",33,0.939,8322.0,252.2,-1637.0,0.69
,20.0,None,51,0.98,16333.0,320.3,-492.0,2.68
,20.0,['Monday'],41,0.976,12938.0,315.6,-492.0,2.38
,20.0,['Friday'],39,0.974,12284.0,315.0,-492.0,2.32
,20.0,"['Monday', 'Friday']",29,0.966,8889.0,306.5,-492.0,1.96
,25.0,None,57,0.982,18497.0,324.5,-492.0,2.86
,25.0,['Monday'],45,0.978,14372.0,319.4,-492.0,2.51
,25.0,['Friday'],44,0.977,14084.0,320.1,-492.0,2.48
,25.0,"['Monday', 'Friday']",32,0.969,9959.0,311.2,-492.0,2.08
15.0,,None,45,0.956,12505.0,277.9,-1637.0,0.88
15.0,,['Monday'],36,0.944,9377.0,260.5,-1637.0,0.74
15.0,,['Friday'],36,0.944,9436.0,262.1,-1637.0,0.75
15.0,,"['Monday', 'Friday']",27,0.926,6308.0,233.6,-1637.0,0.58
15.0,25.0,None,44,0.977,14142.0,321.4,-492.0,2.49
15.0,25.0,['Monday'],35,0.971,11014.0,314.7,-492.0,2.19
15.0,25.0,['Friday'],35,0.971,11073.0,316.4,-492.0,2.19
15.0,25.0,"['Monday', 'Friday']",26,0.962,7945.0,305.6,-492.0,1.85
