delta,wing_width,dte,total_trades,win_rate,total_pnl,avg_pnl,avg_win,avg_loss,max_loss,sharpe
0.1,15,0,60,0.31666666666666665,-39025.9765625,-650.4329427083334,152.37201891447367,-1022.4645102896342,-1500.0,-0.9264688759447484
0.1,15,1,59,0.9830508474576272,6942.051294387851,117.66188634555681,121.74509736368353,-119.164352705792,-119.164352705792,3.725947343453601
0.1,15,2,58,1.0,7325.0803598838,126.29448896351377,126.29448896351377,0.0,116.89297529363216,29.675753474004814
0.1,15,3,57,0.9824561403508771,7005.295586485136,122.89992256991466,128.99627581527906,-218.49585917049126,-218.49585917049126,2.685360329483503
0.1,20,0,60,0.31666666666666665,-51183.0078125,-853.0501302083334,152.37201891447367,-1318.9774676067073,-2000.0,-0.9364416347713905
0.1,20,1,59,0.9830508474576272,8757.092669861733,148.42529948918192,152.4820530356028,-86.86640620322805,-86.86640620322805,4.666757308965919
0.1,20,2,58,1.0,9316.251043007058,160.62501798288028,160.62501798288028,0.0,147.67327999441557,26.971824395647527
0.1,20,3,57,0.9824561403508771,9085.848828414813,159.40085663885645,165.48578943445742,-181.3553799147993,-181.3553799147993,3.4780874101618457
0.1,25,0,60,0.31666666666666665,-61387.98828125,-1023.1331380208334,152.37201891447367,-1567.8794302591464,-2500.0,-0.9267493140642559
0.1,25,1,59,0.9830508474576272,10331.417920024243,175.10877830549566,179.13469068284388,-58.39413958070132,-58.39413958070132,5.441181543326222
0.1,25,2,58,1.0,11110.610718096716,191.56225376028823,191.56225376028823,0.0,174.9488790985023,24.35381038065917
0.1,25,3,57,0.9824561403508771,10999.892815630117,192.98057571280907,199.05328621258428,-147.0912122746032,-147.0912122746032,4.197930656099162
0.1,30,0,60,0.31666666666666665,-70593.017578125,-1176.55029296875,152.37201891447367,-1792.3923399390244,-3000.0,-0.9103220220306549
0.1,30,1,59,0.9830508474576272,11691.669726182123,198.16389366410374,202.15602796689342,-33.37989589769563,-33.37989589769563,6.052399227385141
0.1,30,2,58,1.0,12724.052939843448,219.3802231007491,219.3802231007491,0.0,199.0436902408078,21.994688336744108
0.1,30,3,57,0.9824561403508771,12758.178138611922,223.82768664231446,229.88760275237215,-115.5276155209151,-115.5276155209151,4.843626362183934
0.12,15,0,60,0.31666666666666665,-39025.9765625,-650.4329427083334,152.37201891447367,-1022.4645102896342,-1500.0,-0.9264688759447484
0.12,15,1,59,0.9830508474576272,7487.335644382656,126.90399397258736,147.84081992209275,-1087.4319110987244,-1087.4319110987244,0.7952525405040297
0.12,15,2,58,1.0,8907.42092676015,153.5762228751751,153.5762228751751,0.0,141.2448449534054,27.640125379256908
0.12,15,3,57,0.9824561403508771,7430.981036715943,130.36808836343764,156.56575944663953,-1336.7014922958674,-1336.7014922958674,0.6648049811724142
0.12,20,0,60,0.31666666666666665,-51183.0078125,-853.0501302083334,152.37201891447367,-1318.9774676067073,-2000.0,-0.9364416347713905
0.12,20,1,59,0.9830508474576272,9722.542947163092,164.78886351123882,185.6695554067186,-1046.29126642659,-1046.29126642659,1.034627266070805
0.12,20,2,58,1.0,11356.34441055952,195.799041561371,195.799041561371,0.0,178.0288346344886,25.973658385550838
0.12,20,3,57,0.9824561403508771,9628.783968002463,168.92603452635893,201.20758478596443,-1638.8407800115488,-1638.8407800115488,0.6990262413065668
0.12,25,0,60,0.31666666666666665,-61387.98828125,-1023.1331380208334,152.37201891447367,-1567.8794302591464,-2500.0,-0.9267493140642559
0.12,25,1,59,0.9830508474576272,11673.909634914837,197.86287516804808,218.6842633551554,-1009.7776396841763,-1009.7776396841763,1.2443721677036383
0.12,25,2,58,1.0,13573.963578718533,234.0338548054919,234.0338548054919,0.0,210.42038522004452,23.9602103741201
0.12,25,3,57,0.9824561403508771,11980.942533312444,210.19197426863943,242.4346175778858,-1595.3960510491584,-1595.3960510491584,0.8706058829833458
0.12,30,0,60,0.31666666666666665,-70593.017578125,-1176.55029296875,152.37201891447367,-1792.3923399390244,-3000.0,-0.9103220220306549
0.12,30,1,59,0.9830508474576272,13370.922405967778,226.62580349097922,247.386243088781,-977.4796931815217,-977.4796931815217,1.4271645019836556
0.12,30,2,58,1.0,15577.720549071691,268.5813887770982,268.5813887770982,0.0,238.83896336427028,21.96147109187469
0.12,30,3,57,0.9824561403508771,14150.153173329594,248.24830128648424,280.452687942785,-1555.1973514663587,-1555.1973514663587,1.0290629656629489
0.15,15,0,60,0.31666666666666665,-39025.9765625,-650.4329427083334,152.37201891447367,-1022.4645102896342,-1500.0,-0.9264688759447484
0.15,15,1,59,0.9661016949152542,8999.27982175424,152.5301664704108,186.2854384878089,-809.4950860254357,-1307.1142865555544,0.7539648291364183
